Name;Value;Package;Manufacturer;MPN;
C1;56p 50V 5% C0G;C3216;WALSIN;T-24f190742;
C2;1u 50V X7F;C3216;Samsung;CL31B105KBHNNNE;
C3;56p 50V 5% C0G;C3216;WALSIN;T-24f190742;
C4;56p 50V 5% C0G;C3216;WALSIN;T-24f190742;
C5;56p 50V 5% C0G;C3216;WALSIN;T-24f190742;
C6;56p 50V 5% C0G;C3216;WALSIN;T-24f190742;
C7;1u 50V X7F;C3216;Samsung;CL31B105KBHNNNE;
C8;56p 50V 5% C0G;C3216;WALSIN;T-24f190742;
C9;56p 50V 5% C0G;C3216;WALSIN;T-24f190742;
C10;56p 50V 5% C0G;C3216;WALSIN;T-24f190742;
C11;56p 50V 5% C0G;C3216;WALSIN;T-24f190742;
C12;56p 50V 5% C0G;C3216;WALSIN;T-24f190742;
C13;56p 50V 5% C0G;M3216;WALSIN;T-24f190742;
EC1;470u 10V;E3.5-8;GZZ;T-74627;
EC2;470u 10V;E3.5-8;GZZ;T-74627;
F1;;0207/10;STAR ELECTRONIC/JANTEC;RH356008;
FB1;;M3216;MuRata;BLM31PG601SN1L;
FB2;;M3216;MuRata;BLM31PG601SN1L;
FB3;;M3216;MuRata;BLM31PG601SN1L;
FB4;10;M3216;DRALORIC;D2520010R5%P5;
FB5;;M3216;MuRata;BLM31PG601SN1L;
FB6;10;M3216;DRALORIC;D2520010R5%P5;
IR1;;M_DIN8;TE Connectivity;1658998-1 ;
JP1;not populated;MA04-2;;;
JP2;;MA09-2;;;
PS1;;M_DIN6;TE Connectivity;5749180-1;
USB1;;PN87520-S;Amphenol;87520-0010BLF;
USB2;;PN87520-S;Amphenol;87520-0010BLF;
